####################################################
#
# INFORMACION SOBRE LAS PISTAS DISPONIBLES
#
####################################################

 PISTA|   FECHA|HORA_INICIO|HORA_FINAL
Pista3|20200226|      19:00|     20:00
Pista3|20200302|      18:00|     19:00
Pista3|20200302|      19:00|     20:00
Pista3|20200303|      18:00|     19:00
Pista3|20200303|      19:00|     20:00
Pista3|20200304|      18:00|     19:00
Pista3|20200304|      19:00|     20:00
Pista7|20200305|      18:00|     19:00
Pista7|20200305|      19:00|     20:00
Pista3|20200305|      18:00|     19:00
Pista3|20200305|      19:00|     20:00
Pista7|20200306|      15:00|     16:00
Pista7|20200306|      16:00|     17:00
Pista7|20200306|      17:00|     18:00
Pista3|20200309|      18:00|     19:00
Pista3|20200309|      19:00|     20:00
Pista3|20200310|      18:00|     19:00
Pista3|20200310|      19:00|     20:00
Pista3|20200311|      18:00|     19:00
Pista3|20200311|      19:00|     20:00
Pista7|20200312|      18:00|     19:00
Pista7|20200312|      19:00|     20:00
Pista3|20200312|      18:00|     19:00
Pista3|20200312|      19:00|     20:00
Pista7|20200313|      15:00|     16:00
Pista7|20200313|      16:00|     17:00
Pista7|20200313|      17:00|     18:00
Pista3|20200316|      18:00|     19:00
Pista3|20200316|      19:00|     20:00
Pista3|20200317|      18:00|     19:00
Pista3|20200317|      19:00|     20:00
Pista3|20200318|      18:00|     19:00
Pista3|20200318|      19:00|     20:00
Pista7|20200319|      18:00|     19:00
Pista7|20200319|      19:00|     20:00
Pista3|20200319|      18:00|     19:00
Pista3|20200319|      19:00|     20:00
Pista7|20200320|      15:00|     16:00
Pista7|20200320|      16:00|     17:00
Pista7|20200320|      17:00|     18:00
Pista3|20200323|      18:00|     19:00
Pista3|20200323|      19:00|     20:00
Pista3|20200324|      18:00|     19:00
Pista3|20200324|      19:00|     20:00
Pista3|20200325|      18:00|     19:00
Pista3|20200325|      19:00|     20:00
Pista7|20200326|      18:00|     19:00
Pista7|20200326|      19:00|     20:00
Pista3|20200326|      18:00|     19:00
Pista3|20200326|      19:00|     20:00
Pista7|20200327|      15:00|     16:00
Pista7|20200327|      16:00|     17:00
Pista7|20200327|      17:00|     18:00
