####################################################
#
# INFORMACION SOBRE LAS PISTAS DISPONIBLES
#
####################################################

 PISTA|   FECHA|HORA_INICIO|HORA_FINAL
Pista1|20190905|      18:00|     19:00
Pista1|20190905|      19:00|     20:00
Pista3|20190905|      18:00|     19:00
Pista3|20190905|      19:00|     20:00
Pista1|20190910|      18:00|     19:00
Pista1|20190910|      19:00|     20:00
Pista3|20190910|      18:00|     19:00
Pista3|20190910|      19:00|     20:00
Pista1|20190911|      18:00|     19:00
Pista1|20190911|      19:00|     20:00
Pista3|20190911|      18:00|     19:00
Pista3|20190911|      19:00|     20:00
Pista1|20190912|      18:00|     19:00
Pista1|20190912|      19:00|     20:00
Pista3|20190912|      18:00|     19:00
Pista3|20190912|      19:00|     20:00
Pista1|20190917|      18:00|     19:00
Pista1|20190917|      19:00|     20:00
Pista3|20190917|      18:00|     19:00
Pista3|20190917|      19:00|     20:00
Pista1|20190918|      18:00|     19:00
Pista1|20190918|      19:00|     20:00
Pista3|20190918|      18:00|     19:00
Pista3|20190918|      19:00|     20:00
Pista1|20190919|      18:00|     19:00
Pista1|20190919|      19:00|     20:00
Pista3|20190919|      18:00|     19:00
Pista3|20190919|      19:00|     20:00
Pista1|20190924|      18:00|     19:00
Pista1|20190924|      19:00|     20:00
Pista3|20190924|      18:00|     19:00
Pista3|20190924|      19:00|     20:00
Pista1|20190925|      18:00|     19:00
Pista1|20190925|      19:00|     20:00
Pista3|20190925|      18:00|     19:00
Pista3|20190925|      19:00|     20:00
Pista1|20190926|      18:00|     19:00
Pista1|20190926|      19:00|     20:00
Pista3|20190926|      18:00|     19:00
Pista3|20190926|      19:00|     20:00
